id,text,sentiment
390f169584,im lady lady dont move couch direct couch go,positive
58129e4130,yay block party youre bomb blockhead 3 dave thanks supporting nkotb,positive
e6c9e5e3ab,26th february,neutral
cb5e709de8,guess mom adopted kitty today 11 month name corky,neutral
a14b4ff440,happy birthday snicker hope best day ever let go shopping,positive
5d57a5eda2,thank im working,neutral
1e3561e921,lol man got 2 1 2 hr iont woulda made wit ramen noodle tv time,positive
c2ea5cb58b,feeling well today,neutral
cde0016d6d,ear hurt medicine gum,neutral
5fc411e8d1,berland lmao know know,positive
5ffb19ae8f,gnight shar vega,neutral
76da985a47,underwire bra sticking poking armpit,neutral
3a98aa4762,happy mother day,positive
886545bbab,yes,neutral
2afe118dc3,cant call mitch im sweden,neutral
704c53f4cf,happy star war day may fourth,positive
71fa60d9ff,excited eat wartermelon bought day terrible sweet,negative
c238c4dbb7,watched marley mei cried hard,negative
dc73e85417,take antibacterial school clean hand cant go loo,positive
af63915fa9,im leaving work trying decide return sunday afternoon monday 4 meet noon uk time deadline,neutral
eb2fc4d281,haaawwell get class 1050i hope make,neutral
f9382a1f7b,oooh sunshine patch sunshine gone time leave work replaced rain vent,neutral
54670ca807,skype call billie webcam dont work,neutral
3ab338c459,great study time followed delicious japanese meal arty trying get back study mood,positive
c7c7f7f025,fml car prohibiting finding job,neutral
1256e6a4d2,lol since got twitter little ago seems like load people setting account,positive
990cdeae87,want see david cook,neutral
9a55d83c79,yeh 2,neutral
c8307a482d,learning tat scenic way din plan go town somehow herded,neutral
0a21b662a4,dont want anything specific want see puppy,neutral
297f7d9e0f,yeah need fricken cell number ive tried home month he busy miss braddddddddd,positive
68901906a4,toy story 3 trailer premiered need computer back,neutral
3112944847,ughh phone hp,neutral
8f8334ffa2,hand made dan jenn sock blocker made exotic wood one called purple heart,positive
322546026e,yay breaking 200,neutral
e6c154f9be,bahah sadly,negative
e96d849b35,always champion league party ti awesome,positive
124e30d941,well stay away kind surround dont happy mother day ur mom treiz,positive
fbb5742bbb,adel didnt reply yet wait till confirm case somebody might translated already,neutral
e90acf3c42,thats rough hubby knee surgery help end let u know result well keep prayer,negative
0b0944285d,might go back much earlier expected bye bye bay area,negative
a11da2d3bf,playin city villain wishin buddy playin,neutral
161bfc7c8a,yep three thing good haircut ability listen value taking seriously,positive
4a65010643,riley hacked twitter hahaha,positive
1b460c82f0,big sad face bing doesnt work iphone take regular mobile live search,negative
43e91a5488,liked record soothing voice,positive
410dd99aa3,man im sad school ending high school might better,positive
b3eadfc565,folk thought hilarious told story saw shirt wore tonight laughter night,positive
480894125b,youre absoute best,positive
001617fca4,oh god cried much watch guy bgt,positive
52f2f23473,near daily exercise starting show result,positive
e7e27b0c91,welcome,positive
834dc73c0c,bout hit pmark make one final meal wit housemate,neutral
aeb0e9d730,get go home go work,neutral
c672c9da1d,voted cmtcom,neutral
cbee1946d3,got home nice party tired yet,positive
b1999f0951,sunburn,neutral
25510fbf89,job nice day better,positive
bcb9426abb,wish could go weekend,neutral
0d29624200,3 rupert grint boy ive accepted tht fancy im certain doesnt feel worth telling,positive
3f0f5891ab,love book,positive
0b34e66ea3,ok eye doctor guy taking forever im sitting cold room myselfwhat jerk,negative
11de8c0456,im slowing tweetscuase lost phone,neutral
d5712716e9,well thank phone,neutral
3f90f95beb,would take photo stuffed animal thats pretty funny,positive
c108e09b19,tweetdeck acting really strange hum reinstall maybe update horizon another adobe memory leak,negative
7223fdccc2,tikcets 91eachbut want go,neutral
f254748cdb,happy mother day,positive
256453d14f,gon na hot today today ryans last day prek cant believe ive sahm since,positive
8fd01857a9,dreaming weekend awake,neutral
37227c0dbf,oh ive returned supermarket doom find nothing drink,neutral
20aff2fcb1,yay missed naptime,neutral
ca223af36e,dgroup saturday little bit football hour nap 3 hour soccer basketball tsu yogurtland life good,positive
90977e9614,set new computer 15min love norton ghost,positive
433b1ab9ea,ahhh mommie got new sheet bed comfy,positive
37771d1bc1,celeste finally sleep silence,neutral
fa99046452,im 1243 im lazy thank god bank holiday,negative
14760477ad,pretty dang tired chamber class napping,negative
da908a6635,poop hogging shitter,neutral
2053a455e9,yes im 50 full dvr 98 like 3 day ago lol swear didnt dvr would never watch tv,positive
1ea547383b,happy muthaths day mom salute,positive
6634c62acf,hahaha alright,positive
c7240790da,arent suppossed support local economy lol good congrats,positive
08ede23635,good know thanks,positive
4e87dcff0e,flavor day,neutral
4b0b53bc98,weather let morningughhada gd nite tho,neutral
fd3a622954,listened condre scr got invitation watch live concert june 20th munich,positive
e34af4fd97,elo wow brings back many happy memory love bandand yes know im showing age dont care,positive
0e8aa10a4e,thats cute picture dont get fat licking bbqs must found chop someone el,positive
29148dc95c,oh love sunday morning like mum made scrambled egg toast,positive
56a15cf6ca,hate working sunnyboohoo,negative
b99969c2fb,online,neutral
b0f3142cb4,bundy 3 day warm weather come,positive
5ff525b74b,wondering cld make thing worse already answer,negative
4fd80e66e0,dutch marketing agency asking job applicant apply 140 character le,neutral
e77a8f8f2d,twitter spoiled fun frustratingly slow couldnt even bid properly,negative
4ea7102112,chick haha completely agree,positive
6a14956779,dont pack cant leave right,positive
7c2fcb712e,lolwhere u headed,neutral
cdd172d6a7,going bed great night friend glad know feeling class someone else,positive
d2a21b3cb7,many mine included ahem shld known better back wldnt missed many opportunity haha,positive
799e17e7a7,nice leave office sun still,positive
0a49cdbdf6,miss soccer mom,neutral
4a13c1093d,garlic pill spider bite toe lolclassic always hungry u killing 2 funny,positive
9407ce6ccc,sigh ah well maybe second email clear get approved,positive
820f19ca44,missed tweet joe time difference uk dont 4get fave supporter uk,neutral
683bb73c09,came mind said adapted family vocabulary,neutral
0d14593b11,looking forward body work today,neutral
9ac13b3739,watched yes man bahaha movie messed,neutral
16ee71e6df,sadly think know exactly put itin expired drawer thing life span le two year,negative
f5d47f04f5,much unless one pillow end suffocating one sleeping next,negative
e131c496a2,meeting best friend first thing morning gym omg still shocked hope get better soon,positive
bc6d7b4364,wow fastnext soderling ferrer gilles simon lost,positive
c87be630b5,yup theory great reality beyond imagination also made planning knowing v fail,positive
e4ad1684bb,glad know ad display problem due firewall config yr office phew,positive
f7835156a5,woot,neutral
03bb148b87,dont like monday wish sunday cause thats fun day freaking jam little miss,positive
b47c430fda,,neutral
0234e16010,waiting last movie finish test screening ghost girlfriend past glass wine lolly bag hand yay,negative
be9ed19513,happy may 4th everyone paintball,positive
bf7240df91,must head back office,neutral
2f883c6eb1,st joe dirty,negative
a1320a5050,camping black butte lake,negative
d72a60bee8,getting message add recieve soz im new,positive
bc9ebe0002,hate life,negative
64ddc1f8a2,sick stomach headache wish someone could come rub temple,negative
03f6b8d900,natalya got ta tell whats going id call lost phone number broke blackberry,neutral
2d475b1b23,thought unfair 3 ppl 2 n got depressed hater,negative
87473f5175,cry real tear,positive
7a09871d21,brown holding onto one,neutral
96ec2855e4,panchitos burfday party tonight wish kiddo,neutral
45cf9ba329,back town mac crashed better,positive
bab68144cd,archie andrew thinking veronica,neutral
fc49e426f5,best thing life free x,positive
a172818c9e,miss mom today best friend even though gone several yr still miss dearly happy mother day,positive
036191bb61,watching blood veoh episode 19 love musicwishing could watch live action old enough,positive
3ef85c201c,bummer,neutral
ea348ea738,truth maxwell cant forget future father child,neutral
fd10f463c9,racoon ate bread,neutral
e6e02e1be6,sure let mom know fabulous think almost mother day,positive
8112c62d00,inastory glad im one he baby im terrified hell think never coming back,positive
0f89951346,launch today teacher changed plan watched stupid move tesla,negative
f3ec0395b0,pleasant sooo rarely time kill,positive
37ffa83550,thank ooh see youve read desert island great book,positive
cb8c730261,lol tiz good song,positive
be33b5cb9a,working internet shop dont think achieve goal uploading previously set time keep going,negative
4fed31099f,bought cheesecake ice cream last week thinking good sucked much im taking,positive
de288eb45b,cause frustration buddy,neutral
7ab82d9fda,wright thank return mack jam,neutral
9d8a45d308,ready saddenning depressing dullful upsetting dreadful weekend,negative
d25c4179f6,sorry lack tweet ive buzy new vid saturday,negative
6cd35dd82e,humble best going work paintball day soon fuel strip doubt,positive
65275b51e2,going bed cant take thiss longeerr maan u,neutral
9fae9e3145,morden richards ill see youwe get back good luck,positive
e515132ae4,thanksi really appreciate know hardest thing ever done,positive
df3c7485ae,spent last hour signing yearbook ill miss guy,negative
bd8ba2ad7e,love every little thing,positive
58be40735c,mobile stopped recieving text message stoooopid thing,neutral
b5a0a16fd7,hi simon let know done,neutral
044f146e5c,amazing night favorite lady friend,positive
a8e17db0cc,oyler poor little woman smushed head,negative
abda0ac082,fixin clean house mom mother day,positive
b01506af48,think people say save drama fo yo mama im sure even yo mama wouldnt wan na listen ur drama ode mother day,positive
53969f2468,hey thats school hate place,negative
4df63939ef,got 3 star pre wash failed rince,negative
f43efa3560,sister law left prom looked soo pretty tear around,positive
c89e41fc7c,follow,neutral
b9ec075666,bought three book yipee who readtenbooksduringthesummer thing,neutral
ca333e378d,im really bored brother went get permit stay road jk lol feel like friend abandoned except 1,positive
5a91b175f6,goodnight,neutral
ac00adda49,themoon hiya hun day dentist appointment ouchnotebook feeling sick hows,negative
cf9dc7479a,emily ahahha scare would work,neutral
005e2e60d3,need change monitor,neutral
0b1fad03e9,know dude im rerun making jenny watch conversation lol havent online much,positive
2c72a5582a,vote every day,neutral
af0778ed50,waled past quad want outside fun,positive
1e0416ec46,rocked home maccas signing petition big bang tour au lol,positive
1e6f72ea44,think food ate made sick feel good,negative
cc930f7aa8,eagerly anticipating twitpics,neutral
9c202174a3,lot task complete today first wecloming new member canadamigos social networking site wwwcanadamigoscom coffee,positive
b9a1df7a8a,want stay bed day go work instead sux,neutral
7b3132d3cc,chillen trying figure thing gettin drunk,negative
5f80970983,yay doctor interview back 2 doctor blood work,neutral
f008d91039,filming carnival music video reminds cherry festival used go back home ahhh memory,neutral
c223721eed,im siiiiiickkk dun feel good,positive
7f8a3308f8,propellerheads harddrive long got music repo back shape felt nostalgic,negative
3f7adda0a4,glorious sunny day london town im drama school fighting people sword protecting romantically structured face,neutral
6c60cf0bb2,89 feel sorry hope dnt cry 2nd time,negative
f77651be05,would wish severe migrains would stop doc prescription arent working,neutral
aff740a028,0909 full moon lovely friend family bday wish came true3 additiongray matter one cutest movie ever,positive
c3f1116734,life would suck without kelly clarkson,neutral
4b57011c85,revising exam,neutral
cb4266c560,host next logies laughed bit really,positive
dcb3bb2912,hi jordan im gon na ui know ur busy know ur probably tired please reschedule nc dont leave u,negative
f61b40624e,joy feel like red lea,positive
b6d2229b03,id love think trek london would bit much,positive
299fda8c5b,hey hey,neutral
fbea09d42d,think revising garden 8 morning without sunscreen isnt best idea ive oucccccccch,positive
1b62e0c672,miserable feel like im gona cry sux,negative
2452a0aa6a,know deliciousmiss germany like holland well used shoppin weekendslol,neutral
8a821c6d63,lol true maybe next year loooved siggy dont remember password mod thing cake,positive
0f93ebfb23,lol get watching hehe,positive
dd655c5aee,hope great certainly spent enough time studying,positive
e94ceb6edd,btw downloaded iphone 30 sdk,neutral
61e8b484df,straighening hair going straight want bummerrr,positive
5be41389ce,need botox work lip im going change name angelina jolie thought sad though racism,negative
bd0f0ebc57,doctor laugh oh crane patient arkham aslyum work,positive
772ba56ce6,morning great day school go,positive
390f00c85a,weird mood muahaz,negative
4a680661d5,congrats photo dre,neutral
e2505e6219,thanks joining follow sanctuary people keep date tweet,positive
0d85e6d515,done disneyland kid knocked stopped hotel bar grabbed grey goose tonic way uppeace,negative
086671fad9,ok lol miss hope cramp get better know painful,positive
9c99cd9396,oh good review,positive
f35cc8bb35,mileycyrus wont let twitter keep saying twitter capacity something bird keep coming,neutral
5ba64af2fd,im extremely hungry thing house soup dont like soup pout,negative
dbd82ea5bd,hilarious,positive
8b6c53f38b,love guy standing behind,positive
e8cb7f18bd,bout hit sackgot tomorrow happy mother day mom,positive
9ea273deaa,lost dc hat,neutral
cf0d831059,starting video editing first spanking movie mina added next update,positive
8f0bafc9dc,effect podcast audio version book plus added charm banter,neutral
0888d7dab7,sunny synday morning nicole later usual mommy got sleep,negative
04d3c2d056,browsing find everything university interior design,neutral
8bbaca6e4b,tweeted sixteen day miss ive fun though ingrid mon frakking awesome bbq today,positive
4a9529e753,visit si fr joemar dito bataan frm camiguin sum ofcmates supposed meet saturday cant luwas,neutral
8be2d4f69f,soo excited pasadena seminarif find confermation email,positive
d9c10546e6,ugh dont feel well sudden,neutral
90be8eaffb,want new phone ive seen much cellphone commercial,positive
8ba332dbbd,well test theory right arm strum got feelin ill humming new tune,negative
1086c26e82,thats cool,positive
b357b9e7d2,school 39 day exited amazing premier,positive
0050eebd18,ti useful indeed esp newbie like,positive
426cb788e5,gon na go see sister mount sinai shes least another 24 hour,negative
d30d23e543,handle tg,neutral
04a204382a,backe backe muffin,neutral
2bc1a7126b,relaxing working mother day oh well good day hope well,positive
a2fb29c072,lasttt mondayyy class,neutral
a2bbae6c4c,yup join nin access fun,positive
0ce30035ac,walked work thinking sitting bellagio time wednesday,neutral
b3505b0aa7,unfair wan na go,negative
99fcc18a8d,download movie good day black sexy cool,positive
2b6bc6920b,jus got back run sunset blvd cuzin tried kill leg still movin im sittin,neutral
d40dd3b17b,aww thats sad miss seeing guy big screen,negative
5aa8a5280f,knooww hot water bottle i whangamata without ahhhhh,positive
7dd57c2598,eeeeep jealous im work um u receive viva broadcast online plz,neutral
142108215,thank much phaoloo,positive
f4aba8da1c,hotel thankful,neutral
9cf9045a3c,watching gh feel bad carly omg,negative
1962095a32,rofl thats like hear,positive
9acf7846ab,ok im frustrated hella dust screen blackberry,negative
e4d58eb70f,anyone awake oh god dying want go sleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeep,neutral
791b4a40af,long think next weekend open going house warming party,negative
0c415791d1,change plan working inside bar tonight,neutral
3bd0bff670,thanks following,positive
c7f27553b8,well good luck,positive
a717783c80,work getting quick bite eat kill wrist self addressing 500 envolopes,positive
5a2add1cd8,arghhhhhhhhh cant keep twitterbones peep,neutral
5999397144,undervote going im overalled,neutral
54a3eab849,making german apple slice nom nom nom,neutral
77b6b38e7e,look like another night office lol,positive
dd6ea8c37a,tummy hurt,neutral
af08dd0be5,got 2 hour sleep,neutral
3cd447856a,anybody else experiencing painful slowdown facebook,negative
d7765a3fd6,lol2 people falconand boo one becca,neutral
509033a1ff,really need earn money watch pcd concert,positive
b09f14d65a,poor pirate last wisdom tooth looking really peaky,negative
3160620b36,mozzer cancelled tonight look,neutral
b2e3ebc647,waiting aaron get town leave work booo,neutral
1f9644b008,morning tweat tweat twitter,neutral
1fee7a1358,headed home charlies vet,neutral
42d3659c3d,wan na b malik taking stage,negative
8746563ae3,going bed soon happy mother day mother 333 ryan le 3 week,positive
01fb29c047,bored bored bored wish something tomorrow especially weather fair,negative
065e4c2dba,well even breakdown better act unfortunately britain got little talent,negative
d0380dbe70,go leeds shopping,neutral
d0c092c3ee,sadly cant view site due region restriction,negative
ed92ed183a,2050 h im still officereally tiredwanna go home,neutral
75d0302de7,aly aj new album summer yay,positive
96c5092f80,day26 awwwww fun fam boo boo,positive
ddbc8dba62,lovelytrinkets like way worded rocky road,neutral
80b61dc4e6,mexican coca cola bottle new favorite thing high fructose corn syrup sugar awesomely old school,positive
37897b1693,got people dont let skip sci pratical becos skola impt dont waste parent money nt fair,positive
7a4af13b01,nothing witty say,positive
000ceaec55,,neutral
97cd2255be,hi ho hi ho work go,neutral
bebfd966a0,thanks hint,positive
bebcdc05ad,u welcome babe kill show yuuupp,positive
e2ea1af68e,hey candis,neutral
25c3c99b1a,never good stereotypical teen,negative
ee27c73f40,love maitu n love happy mother day mama,positive
f90a6f5da0,sorry,negative
49e9fe8b96,want go singapore mother seems,neutral
b34a3e3d72,jb front factor x wooh contest timeee,neutral
0a96d05fdf,u arent going chicago,neutral
ab3f55a84d,problem wih pizzaii love muchim addicted pizza dot dot curve,positive
0437867c21,tired,negative
80ea9ba96f,lovely breakfast mumyummy pancake,positive
4914c3c579,yay fun,positive
33bb4fcc72,thank u mamis bringin sexy back,positive
f0da745521,lucky thats awesome,positive
351d279fba,oh god moth living power outlet actually powersquid,neutral
b5237966b8,craving burrito boy large halibut everything jalepenos 1 line hot sauce anybody hook,positive
55cec41587,oh time real,positive
2cbc372326,well pay sale taxgreat even worse mom pop business double pay business license,negative
8997a62a75,love much called talking fan love lot mitchel ill see u el cajon june 7,positive
bce5834e03,miss bed sleepy,neutral
a9b9f7a878,woo two day till awesome gig one day till uni finished 12 day,positive
d72edc0bb2,tv internet make catherine something something,neutral
2fdd2501d1,anyone advice need,neutral
5fcaa99ec8,found mj mouse flat dj course none left size,negative
3dfd82c60f,im dreading hearing even worse news tonight,negative
16f31448e1,whole 20 follower 5 actual people dont know write anymore,positive
bab04dc463,haappy bank holiday 2 weeeeks aah,neutral
109b636fa5,thought licensing store bc take away experience want provide,neutral
cc29d748cb,amichael doesnt look like youre tired pic dont work hard,negative
bf4b4c0f0b,slept littlewell lot whooops,neutral
64b297c15e,say new layout cute x see cuties hahahah,positive
bc1fbaf4a1,good night rob sleep well safe travel tomorrow,positive
f59d8d766f,know suck data plan weak sauce,negative
8a1bf14c15,well making bed creating noise cleaning cleaning day long music smile x,positive
acfcaea70b,bit new scientist week last week watership,positive
97e53162ff,dear oh dear,neutral
c0b7788e74,monday running fast,positive
15c531b290,playing old school playground still except lame got rid tire swing,negative
23efa13d7c,happy mommahs day mom,positive
c44b286776,cal work orhehe mind gutter im sittin doin student loan thing,neutral
29ed43caca,lol could written would good 2 monday week might catch x,positive
6693f9c143,youre surrounded official niecesnephews yet,neutral
94e0c7c638,cant wait dte michigan summer guy great look customized nkotb track jacket,positive
6114b48cb9,nope fifth generation ipod classic like dumb,negative
32463a2751,meeting overrated,neutral
65ed990460,love smell procrastination morning oder,positive
505f50a90d,considered nurse younger really dont think could cope baby died,positive
481e268403,know definitely going try see weekend,neutral
5ce968f9be,nice,positive
52ad93b3fe,oh must gettin old mom use watch showi miss,positive
e892068fd3,lol totally made laugh made day,positive
226adfd977,tonight fun,positive
47f11efc72,creepy guy walking dog ive fill creeper day,negative
d7b1ac80c4,good morning took longest shower ive ever taken life like 45 50 min shower woah lol,positive
401cc22f49,facebook,neutral
583bae2083,get drive dad airport fly vega wsop wan na go vega,positive
f003be5308,franco made breakfast mom he trying cut strawberry safe knife,positive
49ce2570e5,better person send u feel like mouse american tail ri,positive
0693a85163,allergy sun wearing short stuck advisory whole day boring except fun people make fun,negative
4b273cd32a,thank know happy sad time know youve got right stuff,positive
22003c0e96,merchant agree teenage daughter spending money movie concert week,neutral
0fe049b7ea,someone soon lucky recipient 5000th tweet oh wait,positive
3d1184dabd,good morning went bed feel already morninggoes fast going gym soon nice day,positive
c2392d49e0,one governor one director company,neutral
a25ccabf06,internet week longer,neutral
9b3fcf1668,jesus christ meadowhall could better air con hot,positive
d7746b6b68,listening pnk tunage trying teach cat dance think shes getting backing dancer next tour,neutral
86c20cf6ee,sure,positive
393b22b6c0,getting ready work sun shining plus bgt tonight gon na finished,positive
3c03dc0dd0,aztec mask harder thought u kno think pretty good job artist,positive
25e2db9995,listenin old school new found glory hedro gimi high school band load besides home grown,positive
d17a3a37e1,kelly kelly pay bill 1215 kaden pay em 515 want follow lol dosent get pay bill,positive
58f1b52257,want gooo,neutral
32489d483d,evryone come spamming much blogtv glitching might work,positive
00d907ce33,ready tomorrow mommy get gift mother day hope love,positive
a7f2db128a,ugh fun concert screen cracked phone fell,positive
d39e6da95c,take backstreet boya put silk mc hammer pant sgt peppersbeatles coat lame music smap,negative
09fea0f3a7,happy vstudio shortcut backkk,positive
31eb8ebd2a,cant wait hear evp cuuuute picture,neutral
4dda8fd71a,headed verizon praying pinkberry going make,neutral
e4d6a48aa7,awaiting reply two project one cancelled,neutral
d0b52412b8,coco still,neutral
14acfa72dc,watched belong lovely sister kiddin,positive
c6d6fbb9a6,hello howd ur saturday go,neutral
797f9cddc0,arent showing screen,neutral
4c5672e236,well sacramento hope appreciate rivkah sas treat well ill sitting omaha pouting,negative
d35f126ad0,leaving beach great day vicente needed time together,positive
efdff6dde7,got caught rain sand monsoon way home even though looked like complete idiot,negative
4dd3339756,left already miss nashville back sunday,neutral
dd3cd66574,going bed cavs game dont judge lol,positive
e83b4e9bf0,youre busy bob im jealous im sure even afford go meet john de lancie leonard nimoy,positive
7a27c3a84d,living country government always circus show sad true,negative
19de569235,went twitter crazy last nigh p well thats happens u got nothin ta 2 oclock da mornin,negative
66f1863628,want chocolate,neutral
3690fcb40e,tell love someone like,positive
bad6311330,yep im going better,positive
75499e3bd1,fun,positive
27d6472b81,nose stud fell cant find look like ill head amsterdam today get new one,negative
80995dff29,byspork shall see,neutral
ca2d9efd4c,excellent analogy,positive
12bb670169,good morning tweeps busy working way,positive
70b4033f03,lmao im joking mate,positive
8df42cd45a,follow baby u said n da chat u luv ya goodnite,neutral
82bc030c0d,busy work must run traffic bad,negative
9d6473d14d,got rad new tshirt aunt made cool shiny shiny pink material,positive
146257b271,awesome talk find true watching ruby community closely,positive
2fbae49319,hour guess sleepin living room,neutral
b56108fc36,hahaha niene ur soo smart lmao think good lookin whts gurlie come home weekend,positive
ed54440a2e,happens model,neutral
c135b2cef2,hereby announce employed couldnt happier alhamdulillah,neutral
48c3502151,juz registered cp twitter tweet wont go thru arghhmm wan na follow idol lyk away pc,negative
5e6040afd3,speakingspeaking,neutral
3ea60172a0,paid bill go mailbox find,neutral
96e1deb162,could would require today duvet day imagine outfit wendyhouse photo worthy,positive
819626535b,glad hear made hear place used country looking forward arrival,positive
fec3cae0c2,found swing set sale 2 block home super cheap want 4 kid one answering phone listed,positive
89d9167173,many farewell party sad see people leaving,neutral
dd911923ea,still pity come lamb though,negative
4f8c391159,ive got cup got ta come get,neutral
403847cf44,take take face robbie,neutral
dad1d09bfb,reason wonder love,positive
56f5217a16,happy birthday ness,positive
4a9ef1f9d8,wow really hope get better asthma suck,positive
5a42a51462,feel cousin monkey,negative
c5a584d398,charlie chocolate factory mood johnny depp bed preparing 14 12 hour wok day tomorrow,neutral
fee936fdc3,wasnt layer absolute positioned divs web compability killer,positive
2813c4cf7e,dont hate youre left one slice bread left bag half sandwich,negative
2246ed3d84,love random act kindness laughter,neutral
1b1243d0b5,gha work hopefully traffic cleared time get,neutral
09042bf466,watched another episode jonas better hannah montana much true,positive
40e3087f9c,going meet new family im babysitting wish still sleeeeping,positive
ad94e8b662,hi heather dont know saw message april twitter friendly,positive
fc0b053a31,cant belive one episode go,neutral
9f2a0b0b2f,also watch family guy online wwwfancastcom yes total shill,neutral
7516f86838,know right poorpoor girl show shouldnt put young people competition like though,positive
2492330594,excited 32 people reservation morning lovin halo3 right sure,positive
9aa7d6a58a,wowie wooie someone updated twitter without remind im even madim impressed lasagna,positive
083e4f782b,today another good day le extreme experience anyone fan im watching season 4,positive
ba5e02305b,going tonight never wrote back info im sososo sad,negative
9f4bb12e13,still 100 im sick sick,negative
7a01848c2e,collins im sure understand twitter thing work,positive
ae285917c7,wat stressful week jus hope everything fall place 4me,neutral
5575fdaf3c,hubby dentist ready hold hand getting nervy potentially buying car tomorrow,positive
af3fbd5681,aww got see 1st grade teacher last day retired,positive
db7211afbf,sure continue tweet conf call worrying cat bee,positive
23602f214f,lol made huge mess school shirt using charcoal stick 2d art,positive
c3459bc0bb,b finished,neutral
f02eed05d0,bgt made cry tonight,neutral
ff7126ea72,gawww facebook slow,negative
567ef8c2ed,im cool cant wait hear story xoxo,positive
d50a4dc3bf,bird poo update managed clean slight stainage remains tip,positive
d6bd94911e,also conviced happy dance told adorable happy dance ever,positive
23bf2d69d2,day til nyc journey soon begin music baby,neutral
a6623df1a6,feel love pizza girl eat pizza everyday,positive
34409c9b8a,11 30 way early anyway nigth night love,positive
